time.sec	time.min	input		F0.17	F0.37	F0.57	F0.77	F0.97	PS0.01	PS0.17	PS0.49	PS0.65	Vp0.0001	Vp0.03	Vp0.09	Vp0.12		F0.4	F0.8	F1.2	F1.6	F2.0	PS0.0	PS0.17	PS0.51	PS0.68	Vp0.0001	Vp0.04	Vp0.12	Vp0.16
0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.016666667	0.238926236		0.000676957	0.00147338	0.0022698	0.00306622	0.00386264	0.0022698	0.0022698	0.0022698	0.0022698	0.000994115	0.0022698	0.0022698	0.0022698		0.00159284	0.00318568	0.00477852	0.00637136	0.0079642	0.00477852	0.00477852	0.00477852	0.00477852	0.00118132	0.00477705	0.00477852	0.00477852
2	0.033333333	0.466227775		0.00199794	0.00434845	0.00669896	0.00904948	0.0113938	0.00669896	0.00669896	0.00669896	0.00669896	0.00291218	0.00668309	0.00669896	0.00669896		0.00470103	0.00940205	0.0141004	0.0187159	0.0229741	0.0141	0.0141002	0.0141006	0.0141007	0.00345471	0.0133686	0.0141031	0.0141031
3	0.05	0.688243103		0.00394796	0.00859261	0.0132367	0.0178412	0.0222341	0.0132365	0.0132366	0.0132367	0.0132368	0.00572461	0.0128797	0.0132373	0.0132373		0.00928931	0.0185765	0.0276462	0.0355043	0.0413574	0.0276048	0.0276265	0.0276642	0.0276807	0.00678168	0.023386	0.0278645	0.0278679
4	0.066666667	0.912633059		0.00653375	0.0142205	0.0218722	0.0291545	0.0354406	0.0218595	0.0218663	0.0218771	0.0218814	0.00943361	0.0202895	0.0219073	0.0219073		0.0153735	0.0306658	0.0443835	0.0543176	0.0610288	0.0439855	0.0441958	0.0445512	0.0447011	0.0111617	0.0345192	0.0459894	0.0461152
5	0.083333333	1.174323079		0.00986099	0.0214597	0.0328155	0.0427944	0.0505778	0.0327116	0.0327683	0.0328547	0.0328874	0.0141863	0.0290155	0.0330574	0.0330633		0.0232023	0.0458801	0.063779	0.0753423	0.0831018	0.0622997	0.0630867	0.064389	0.0649273	0.0167662	0.0474446	0.0687496	0.0695114
6	0.1	1.499875456		0.0141107	0.0306881	0.0464072	0.0591004	0.0684649	0.0459798	0.0462156	0.0465632	0.0466906	0.0202371	0.0395911	0.0472593	0.0473115		0.0331998	0.06454	0.0864773	0.100254	0.109666	0.0829413	0.084832	0.0879122	0.0891663	0.0238935	0.0633305	0.0965263	0.0990728
7	0.116666667	1.891515451		0.01947	0.0422724	0.0628808	0.0785501	0.0900683	0.0616325	0.0623275	0.0633229	0.0636773	0.0278458	0.0526171	0.0650482	0.065267		0.0457943	0.0870642	0.113551	0.130385	0.141996	0.106905	0.110472	0.116216	0.11853	0.0328473	0.0829614	0.129844	0.135615
8	0.133333333	2.33481085		0.0260853	0.056448	0.0825533	0.101754	0.115954	0.0798281	0.0813558	0.0834961	0.0842419	0.0372101	0.0683776	0.0867442	0.0873818		0.0613	0.113642	0.145803	0.166457	0.180537	0.134933	0.140785	0.150121	0.153849	0.0438561	0.106418	0.168875	0.179363
9	0.15	2.807514938		0.0340398	0.0732944	0.105538	0.128836	0.146025	0.100548	0.103361	0.107234	0.108561	0.0484338	0.0868136	0.112399	0.113862		0.0798543	0.144527	0.183316	0.207821	0.224601	0.166999	0.175806	0.189747	0.195276	0.0570367	0.13331	0.213946	0.230173
10	0.166666667	3.286106327		0.0433502	0.0927354	0.13171	0.159508	0.1797	0.123561	0.128173	0.134442	0.136565	0.0615232	0.107719	0.141839	0.144659		0.101426	0.179603	0.225255	0.25363	0.272389	0.201984	0.214572	0.234365	0.242169	0.0723898	0.16305	0.264868	0.28771
11	0.183333333	3.749777971		0.0539727	0.1146	0.160808	0.193181	0.216109	0.148533	0.155502	0.164878	0.168027	0.0763995	0.130624	0.174731	0.179492		0.125822	0.218188	0.27049	0.302062	0.322736	0.238524	0.255849	0.282929	0.293553	0.0898148	0.194818	0.320512	0.351258
12	0.2	4.182395335		0.0658176	0.138615	0.192114	0.228704	0.254274	0.174495	0.184524	0.19791	0.202375	0.0929182	0.155004	0.210639	0.217892		0.152741	0.259617	0.317774	0.351872	0.373898	0.275198	0.298315	0.334251	0.348284	0.109134	0.227927	0.379853	0.419603
13	0.216666667	4.573054853		0.0787629	0.164297	0.225102	0.26554	0.293324	0.20083	0.214675	0.233032	0.239121	0.110892	0.180515	0.248992	0.259294		0.181721	0.302742	0.36559	0.401683	0.424918	0.310252	0.340351	0.386891	0.404982	0.13012	0.26169	0.441037	0.491024
14	0.233333333	4.915783818		0.0926681	0.191349	0.259013	0.302737	0.332423	0.226567	0.245112	0.269548	0.277614	0.13011	0.206718	0.288781	0.302939		0.212401	0.346458	0.413067	0.450746	0.474493	0.342857	0.381112	0.439947	0.462714	0.152519	0.295592	0.502317	0.564024
15	0.25	5.208786389		0.107386	0.219438	0.293252	0.339853	0.370727	0.25101	0.275198	0.306886	0.317299	0.150358	0.233169	0.32961	0.348115		0.244436	0.390094	0.459623	0.498073	0.522172	0.372587	0.420095	0.492763	0.520754	0.176071	0.329299	0.562658	0.637172
16	0.266666667	5.453512236		0.122772	0.247936	0.327312	0.376056	0.408208	0.273627	0.304421	0.344543	0.357671	0.171427	0.259749	0.370901	0.394655		0.277026	0.432863	0.50414	0.543342	0.567751	0.398271	0.456164	0.544227	0.577988	0.200527	0.362463	0.620905	0.70861
17	0.283333333	5.653721618		0.138689	0.276611	0.360622	0.411306	0.444363	0.293747	0.332174	0.381969	0.398195	0.193129	0.286219	0.411641	0.440966		0.310183	0.474157	0.546817	0.586186	0.610782	0.42049	0.4897	0.594375	0.634312	0.225659	0.39492	0.676061	0.777413
18	0.3	5.814645059		0.155016	0.305174	0.393136	0.445366	0.479253	0.311533	0.358503	0.419042	0.438689	0.215297	0.312419	0.451691	0.487371		0.343238	0.513877	0.587362	0.626834	0.651475	0.43912	0.520492	0.64284	0.689288	0.251269	0.42666	0.728131	0.842676
19	0.316666667	5.942283829		0.171645	0.333277	0.424617	0.478171	0.512775	0.326837	0.383215	0.455494	0.47886	0.237789	0.33833	0.49038	0.53282		0.376002	0.551704	0.625674	0.665355	0.689984	0.454264	0.548541	0.68943	0.742643	0.277188	0.45762	0.77663	0.903686
20	0.333333333	5.946404284		0.188209	0.360279	0.454183	0.508541	0.543428	0.338983	0.405517	0.490367	0.517692	0.260091	0.36299	0.52687	0.576329		0.40753	0.58656	0.660156	0.699297	0.723328	0.464637	0.572392	0.732423	0.792551	0.302804	0.485891	0.820093	0.958613
21	0.35	5.673084919		0.203908	0.384369	0.479417	0.53326	0.567255	0.345736	0.423074	0.521186	0.552663	0.281056	0.383974	0.5584	0.614833		0.435977	0.615045	0.685896	0.722126	0.743431	0.465545	0.58724	0.766814	0.83392	0.326759	0.506789	0.853505	1.00209
22	0.366666667	5.432220715		0.218822	0.405951	0.500809	0.55319	0.585332	0.347721	0.436436	0.548391	0.584179	0.300847	0.401904	0.585507	0.64905		0.461403	0.637896	0.704096	0.736156	0.754251	0.458372	0.594371	0.793729	0.867815	0.349254	0.523007	0.878033	1.03553
23	0.383333333	5.20264827		0.232948	0.425114	0.518645	0.568785	0.598881	0.345376	0.445957	0.572217	0.612435	0.31952	0.417612	0.608389	0.678407		0.484209	0.655681	0.716249	0.74467	0.761379	0.444977	0.595449	0.814516	0.895458	0.370359	0.537687	0.894615	1.05994
24	0.4	4.981387347		0.246311	0.44202	0.533373	0.581142	0.609764	0.339413	0.452198	0.593026	0.637724	0.337117	0.432031	0.62743	0.703822		0.504214	0.669103	0.724465	0.751297	0.767474	0.428023	0.592842	0.831062	0.918541	0.390132	0.551237	0.904446	1.07608
25	0.416666667	4.768510142		0.258965	0.456835	0.54554	0.591434	0.619357	0.330675	0.455833	0.611266	0.660422	0.353684	0.445458	0.642896	0.724799		0.521722	0.67903	0.730921	0.756939	0.772844	0.410393	0.589051	0.845265	0.938728	0.408629	0.56376	0.908981	1.08461
26	0.433333333	4.564834121		0.270761	0.469685	0.555822	0.600505	0.628101	0.320232	0.457711	0.627484	0.680975	0.369267	0.458039	0.65527	0.7422		0.536839	0.686512	0.736331	0.761829	0.777346	0.393017	0.584882	0.857778	0.956628	0.425911	0.575323	0.909968	1.08701
27	0.45	4.371237126		0.281974	0.480882	0.564755	0.608711	0.636068	0.308969	0.458516	0.642105	0.699725	0.383916	0.469808	0.664883	0.756057		0.549773	0.692611	0.741039	0.76597	0.781277	0.37633	0.580716	0.86892	0.972544	0.442041	0.585945	0.90922	1.0849
